amahagan	Amahagan	blend	JP			Nagahama Roman Beer Co., Ltd.		unknown			unverified	high	https://www.romanbeer.com/whisky/ https://jwhisky.com/distillery/nagahama-amahgan https://www.hombo.co.jp/en/item/whisky/marswhisky/	Owner corrected: Amahagan is the World Malt line of Nagahama Distillery (Nagahama Roman Beer Co, Shiga), NOT Hombo Shuzo/Mars - Amahagan is absent from Mars Whisky's own lineup page. Distillery uses both unpeated German and peated Scottish malt per jwhisky.com, peat varies by release; the World Malt Edition Peated SKU (search-level evidence only) is caught by the global peated keyword rule.
armorik	Armorik	distillery	FR			Distillerie Warenghem		none			unverified	high	https://armorik.bzh/en/our-distillery/ https://armorik.bzh/en/our-single-malts/ https://armorik.bzh/en/our-peated-single-malt-whisky/	Core range (Classic, Double Maturation, Sherry Cask) unpeated per the producer's own site and retailers (non tourbe); two peated variants documented on the producer's own domain, covered by rules for Yeun Elez (50ppm Scottish peated malt) and Roch Du (lightly peated). defaultTypeName cleared: Warenghem also makes the WB blend (25% malt, 75% grain). Family-owned, led by David Roussier.
boulder	Boulder Spirits	distillery	US			Vapor Distillery (Alastair Brogan)		none			unverified	high	https://boulderspirits.com/ https://boulderspirits.com/about-us	Colorado craft distillery (Vapor Distillery, ex-Roundhouse Spirits); range spans American single malt, bourbon and gin so defaultTypeName stays empty. Core range carries no peat language on the producer's own pages; the one Peated Malt SKU is a named exception the global peated keyword rule already catches. none is inferred from that naming split, not from an explicit unpeated statement.
canadian-club	Canadian Club	blend	CA			Suntory Global Spirits	blend	none			unverified	high	https://www.canadianclub.com/our-process https://en.wikipedia.org/wiki/Canadian_Club	Producer's own process page states the full grain bill (corn base plus rye, rye malt, barley malt) with no peat anywhere. Brand owned by Suntory Global Spirits since 2011; the Windsor plant itself passed to Pernod Ricard in 2005 and produces under contract.
grace-omalley	Grace O'Malley	blend	IE			Grace O'Malley Spirits (Inis Tine Uisce Teoranta)		unknown			unverified	high	https://tradeinspirits.com/brand/grace-omalley/	No own distillery; sourced mainly from Great Northern Distillery, blended and finished at Good Spirits Bottling, Dundalk; majority stake held by Private Pier Industries (Berlin). Range spans blend, single malt (Stout Cask) and grain, so defaultTypeName stays empty. Peat corrected none to unknown: no statement found anywhere, and Irish whiskey has real peated exceptions, so absence of smoke notes is not a statement.
haran	Haran	distillery	ES			Destilerias Acha (Manuel Acha family)	single malt	none			unverified	high	https://www.destileriasacha.com/en/haran/ https://www.whiskynotes.be/2023/world/haran-12-years-port-cask-18-years-spanish-whiskey/ https://leonandsonwine.com/products/destilerias-acha-haran-whiskey-original-casks-selection-21-years-old-pais-vasco-spain	Identity resolved: Haran is the whisky brand of Destileria Manuel Acha (Amurrio, Alava, Basque Country, est. 1831, whisky since 1926) - not DYC and not the haran.es geology firm. Malt is kiln-dried with oak wood, not peat (leonandsonwine.com); whiskynotes.be on the 12yo: quite sure it is unpeated. An unverified Turba peated expression surfaced in search synthesis only - withheld, needs an opened source before a rule is added.
high-west	High West	blend	US			Constellation Brands, Inc.		none			unverified	high	https://www.highwest.com/ https://ship.highwest.com/products/campfire https://en.wikipedia.org/wiki/High_West_Distillery	Park City, Utah producer blending own distillate with sourced stock (MGP, Barton); acquired by Constellation Brands in 2016. Bourbon and rye lines unpeated; the core Campfire product contains peated Scotch per the producer's own shop page, covered by a producer-scoped rule. kind could arguably be distillery (real working still) - left blend as seeded.
highland-chief	Highland Chief	blend	GB-SCT			Campbell Meyer & Company Ltd	blend	light			unverified	high	https://campbellmeyer.com/highland-chief-blended-scotch-whisky/	Brand owner's own product page: a slight hint of peat smoke is present but fleeting - light, on-domain corroboration. Owner confirmed from Campbell Meyer's own brand roster (East Kilbride; also McIvor and Bonnie & Clyde).
highland-mist	Highland Mist	blend	GB-SCT				blend	unknown			unverified	high	https://gspirits.eu/our-brands/highland-mist/ https://www.lochlomondgroup.com/pages/brands https://www.thirtyonewhiskey.com/whisky-review-highland-mist-blended-scotch-whisky/	Ownership unresolved and conflicting: a distributor claims Loch Lomond production, but Loch Lomond Group's own brand list omits Highland Mist while listing comparable budget blends, and a US review attributes the US market to Sazerac/Barton Brands. Peat corrected none to unknown; withheld peat proposal: light per gspirits.eu tasting notes (3yo light peaty finish, Premium soft sweet smoky) - distributor copy, not producer domain.
hunting-lodge	Hunting Lodge	blend	GB-SCT				blend	unknown			unverified	high	https://www.fauconnier.com/en/produit/hunting-lodge-blended-scotch-whisky/ https://uswinternational.com/hunting-lodge-blended-scotch-whisky/	Real blended Scotch presented by French bottler Fauconnier as its product (see the fauconnier row); a US trademark record title names Glen Turner Company Limited as owner but the page 403d twice, so owner stays empty. No smoke or peat language in either opened source; leans unpeated but kept unknown for lack of an explicit statement.
