hyde	Peat	word			heavy	60	https://www.homeofmalts.com/en/20535/hyde-no.-11-the-peat-cask	"Hyde No. 11 The Peat Cask" and similar releases are heavily peated; base range otherwise mixed/unpeated. Pattern may not catch every peated release name in the full 23-product catalogue.
kavalan	Peatist	word			light	60	https://www.masterofmalt.com/whiskies/kavalan/kavalan-solist-peaty-cask-whisky/	Peatist Series uses lightly peated malt sourced from Europe.
kavalan	Peaty	word			light	60	https://www.masterofmalt.com/whiskies/kavalan/kavalan-solist-peaty-cask-whisky/	Solist Peaty Cask uses lightly peated malt.
paul-john	Bold	word			medium	60	https://www.pauljohnwhisky.com/bold.php	Confirmed peated to about 25ppm.
paul-john	Peated	word			medium	60	https://maltmileage.wordpress.com/2016/12/20/paul-john-indian-single-malt-whisky-brilliance-classic-edited-bold-and-peated/	Select Cask "Peated" expression.
paul-john	Edited	word			light	60	https://maltmileage.wordpress.com/2016/12/20/paul-john-indian-single-malt-whisky-brilliance-classic-edited-bold-and-peated/	Described as mildly peated, lighter than Bold.
royal-salute	Peated	word			medium	60	https://www.masterofmalt.com/whiskies/royal-salute/royal-salute-21-year-old-the-peated-blend-whisky/	"21 Year Old The Peated Blend" incorporates peated malts; described as adding "subtle smokiness", not extreme.
starward	Peated	word			medium	60	https://starward.com.au/products/peated-finish	"Peated Finish" is red-wine-cask spirit finished about 18 months in peated Islay casks; rated medium since it is a cask finish rather than primary peated-malt maturation.
matsui	Peated	word			medium	60	https://www.thecampfiredram.com/the-campfire-dram/review-kurayoshi-distillerys-matsui-single-malt-collection-sakura-mizunara-the-peated-exploring-japanese-whisky	"The Peated" NAS expression; specific ppm not published so rated medium.
bank-note	Peated	word			medium	60	https://www.caskers.com/bank-note-5-year-old-peated-reserve-blended-scotch-whisky/	"Peated Reserve" variant exists; intensity not detailed so rated medium conservatively.
bankhall	Peated	word			medium	60	https://www.thespiritsbusiness.com/2023/05/bankhall-distillery-unveils-debut-single-malt-whisky/	Distillery also produces "Peated English Malt" / "Peated Black Malt" spirit; ppm not published so rated medium. Exact bottling name carrying "Peated" not confirmed.
