tomatin	Tomatin	distillery	GB-SCT	highland	highland	Takara Shuzo	single malt	none			unverified	high	https://en.wikipedia.org/wiki/Tomatin_distillery	Core range (incl. Legendary Scot NAS) is unpeated. Sibling Cu Bocan (separate row, parentSlug=tomatin) is lightly peated. Distillery also makes blend brands Antiquary/Talisman under their own names, not in this batch.
cu-bocan	Cu Bocan	brand	GB-SCT	highland	highland	Takara Shuzo	single malt	light	tomatin		unverified	high	https://en.wikipedia.org/wiki/Tomatin_distillery	Not seen as its own brand string in this batch's samples; added defensively per the brief's named Tomatin/Cu Bocan sibling pair so a 'Tomatin Cu Bocan' bottling filed under the plain Tomatin brand does not inherit the unpeated profile. Wikipedia infobox literally: 'Single malt (lightly peated)', produced one week a year.
wild-turkey	Wild Turkey	distillery	US			Campari Group		none			unverified	high	https://en.wikipedia.org/wiki/Wild_Turkey_(bourbon)	Range spans bourbon and rye (Wild Turkey Rye, Russell's Reserve), so defaultTypeName left empty. Standard Kentucky mash bill, unpeated.
tamnavulin	Tamnavulin	distillery	GB-SCT	speyside	speyside	Whyte & Mackay	single malt	none			unverified	high	https://en.wikipedia.org/wiki/Tamnavulin_distillery	Standard unpeated Speyside single malt. Owner Whyte & Mackay is itself owned by Philippines-based Emperador/Alliance Global since 2014.
label-5	Label 5	blend	GB-SCT			La Martiniquaise	blend	none			unverified	high	https://en.wikipedia.org/wiki/Label_5	Grain and malt whisky mostly from Glen Moray distillery; no peat indication in any source checked.
glen-moray	Glen Moray	distillery	GB-SCT	speyside	speyside	La Martiniquaise	single malt	none			unverified	high	https://en.wikipedia.org/wiki/Glen_Moray_distillery	Standard Speyside malt matured in American oak; no peat mentioned. Added as parent for Glen Turner and as the malt source named for Label 5.
glen-turner	Glen Turner	brand	GB-SCT	speyside	speyside	La Martiniquaise	single malt	none	glen-moray		unverified	high	https://en.wikipedia.org/wiki/Glen_Moray_distillery https://en.wikipedia.org/wiki/La_Martiniquaise	The Wikipedia article title 'Glen Turner' redirects to Glen Moray distillery; La Martiniquaise's own brand list names Glen Turner as a single-malt line alongside Glen Moray. Grain component for blends comes from the group's Starlaw distillery.
michters	Michter's	distillery	US			Chatham Imports		none			unverified	high	https://en.wikipedia.org/wiki/Bomberger%27s_Distillery	Modern brand (own Louisville/Shively KY distillery) is unrelated to the historic 18th-century Pennsylvania distillery of the same name; that Wikipedia article documents the modern brand and its Chatham Imports ownership. Range spans bourbon/rye/American whiskey/sour mash so defaultTypeName left empty.
redbreast	Redbreast	brand	IE			Irish Distillers (Pernod Ricard)	single pot still	none	midleton		unverified	high	https://en.wikipedia.org/wiki/Redbreast_(whiskey) https://en.wikipedia.org/wiki/Irish_whiskey	Distilled at Midleton. The Irish whiskey article confirms peat is rare outside Scotland and lists Redbreast among the standard (non-peated) single pot still whiskeys.
midleton	Midleton	distillery	IE			Irish Distillers (Pernod Ricard)		none			unverified	high	https://en.wikipedia.org/wiki/New_Midleton_Distillery	Physical distillery (New Midleton Distillery, Co. Cork); makes many brands and types (Jameson, Redbreast, Powers, Midleton Very Rare) so defaultTypeName left empty. Added as parent for Redbreast and for Midleton Very Rare.
midleton-very-rare	Midleton Very Rare	brand	IE			Irish Distillers (Pernod Ricard)	blend	none	midleton		unverified	high	https://en.wikipedia.org/wiki/New_Midleton_Distillery https://en.wikipedia.org/wiki/Irish_whiskey	Catalogue brand 'Midleton' -- all 6 sample products are 'Midleton Very Rare'/'Barry Crockett...' -- is a blend of pot-still and grain whiskey all distilled at Midleton, so kind=brand with parentSlug=midleton rather than kind=blend. The exact-input alias 'Midleton' points here, not at the distillery row.
heaven-hill	Heaven Hill	distillery	US			Heaven Hill Brands (Shapira family)		none			unverified	high	https://en.wikipedia.org/wiki/Heaven_Hill	Bardstown/Louisville KY, family-owned. Range spans bourbon (Old Style) and rye (Rittenhouse) so defaultTypeName left empty. Unpeated American whiskey.
mellow-corn	Mellow Corn	brand	US			Heaven Hill Brands (Shapira family)		none	heaven-hill		unverified	high	https://en.wikipedia.org/wiki/Corn_whiskey https://en.wikipedia.org/wiki/Heaven_Hill	Corn whiskey (min. 80% corn mash bill); 'corn' is not in the closed defaultTypeName list so left empty. Unmalted-grain-heavy mash, no peat.
cragganmore	Cragganmore	distillery	GB-SCT	speyside	speyside	Diageo	single malt	none			unverified	low	https://en.wikipedia.org/wiki/Cragganmore_distillery https://en.wikipedia.org/wiki/Classic_Malts_of_Scotland	REVIEW: standard Speyside Diageo Classic Malt; in the Classic Malts lineup only Talisker/Lagavulin are singled out as 'strongly flavoured', implying Cragganmore is not. No source found with an explicit 'unpeated' statement, so confidence kept low. Some tasting notes describe a delicate meaty/smoky character from its unusual flat-topped stills and worm-tub condensers -- a distillation-character trait, not peat -- flagging for human review.
glentauchers	Glentauchers	distillery	GB-SCT	speyside	speyside	Chivas Brothers (Pernod Ricard)	single malt	none			unverified	low	https://en.wikipedia.org/wiki/Glentauchers_distillery	Standard Speyside filling malt, historically used almost entirely for blending; no peat mentioned. Confidence kept low: no explicit peat statement found, only absence of any mention.
