hamiltons	Hamiltons	blend						unknown			unverified	unknown		Single product, no information found this session; generic surname brand, too ambiguous to guess anything further	hamiltons	1	Hamiltons
harrison	Harrison	blend	IE					unknown			unverified	unknown		No web presence found this session; own-label, origin unclear despite the IE country guess from the catalogue.	harrison	1	Harrison
hepp	Hepp	distillery	FR					unknown			unverified	unknown		Sample "Hepp Tharcis Alsacien" suggests an Alsatian (France) distiller (Hepp is a known Alsace fruit-spirit/eau-de-vie house); could not confirm within budget whether they produce whisky specifically or its peat status - left unknown.	hepp	1	Hepp Tharcis Alsacien
hiberum	Hiberum Saboga	blend	ES					unknown			unverified	unknown		No web presence found; own-label, could not confirm this is genuine whisky vs. another Spanish spirit category. Catalogue guesses blend/ES; kept (unlike 'Haran', see report) since nothing here explicitly signals a non-whisky oak-chip product.	hiberum|hiberum saboga	1	Hiberum Saboga 2024
highland-harvest	Highland Harvest	blend	GB-SCT					unknown			unverified	low		Organic-certified Scotch whisky brand; recalled to be French-marketed but official sites (highlandharvest.se/.fr) did not resolve this session, so ownership and peat character could not be confirmed by citation. Source distillery undisclosed. Left peat unknown per policy rather than rely on memory.	highland harvest	1	Highland Harvest Organic Oak Cask
hinotori	Hinotori	blend	JP					unknown			unverified	unknown		Single-product brand; could not identify a source this session (WebSearch budget exhausted). "Hinotori" (火鳥, "firebird") is an unambiguous Japanese word, so countryCode is guessed as JP on that basis alone - this guess is NOT backed by a citation and peatProfile is correctly left unknown; a reviewer should verify the brand entirely.	hinotori	1	Hinotori
hogs	Hogs	blend						unknown			unverified	unknown		No information found within budget. Single sample 'Hogs 3' gives no clear indication of style, origin or the meaning of '3'.	hogs	1	Hogs 3
house-of-maclair	House of Maclair	blend	GB-SCT			Ian Macleod Distillers		unknown			unverified	low	https://en.wikipedia.org/wiki/Ian_Macleod_Distillers	Catalogue's own product name states the producer directly ("House of Maclair Ian Macleod"). Ian Macleod Distillers is confirmed real (Wikipedia), but this specific range is not among the brands the article lists (Isle of Skye, Sheep Dip, Pig's Nose, King Robert II, etc.), so peat is left unknown rather than inherit the parent company's other house styles.	house of maclair	1	House of Maclair Ian Macleod
hungry-hill	Hungry Hill	blend	IE					unknown			unverified	unknown		No citable source found this session for this Irish whiskey despite the name being familiar; left unknown rather than rely on memory.	hungry hill	1	Hungry Hill
irishamerican	Irishamerican	blend	IE					none			unverified	low	https://en.wikipedia.org/wiki/Irish_whiskey	Brand string as catalogued ("Irishamerican", one word) is unusual and its single sample name is just "Irish" - possibly a mangled "Irish American" blend, possibly a plain Irish whiskey; leaning Irish whiskey (categorically unpeated) but genuinely uncertain, low confidence.	irishamerican	1	Irish
