springbank	Springbank	distillery	GB-SCT	campbeltown	campbeltown	J&A Mitchell & Company	single malt	light			unverified	high	https://en.wikipedia.org/wiki/Springbank_(distillery)	Parent of Longrow (heavy) and Hazelburn (unpeated, not in this batch). Core Springbank itself is medium-peated per the distillery's own process (6h peat smoke + 30h hot air, "medium-peated" per the cited article).	springbank	4	Signatory Springbank Symington's Choice 1989 ; Springbank
the-speaker	The Speaker	blend	GB-SCT			Block, Grey & Block Ltd	blend	none			unverified	low	https://www.whiskybase.com/whiskies/brand/85673/the-speaker?language=en	Blended Scotch whisky, limited information available; 5- and 12-year expressions listed on Whiskybase. No peat/smoke character found in available sources, hence low confidence despite the citation.	speaker|the speaker	4	Speaker
yoichi	Yoichi	distillery	JP			Nikka Whisky Distilling	single malt	medium			unverified	low	https://nonjatta.blogspot.com/search?q=yoichi+peat https://en.wikipedia.org/wiki/Yoichi_distillery	Nikka's original 1934 Hokkaido distillery, coal-fired direct-flame stills; traditionally the peatier/smokier half of Nikka's pair (vs Miyagikyo). Wikipedia's own distillery article is a peat-silent stub; the only citation reachable this session is a Nonjatta blog search hit titled "Yoichi 12 - fruit and peat" -- real but weak evidence. Official Nikka pages, distiller.com, dekanta.com and whisky.com/whiskybase were all blocked (403/404/cert errors) this session. Set medium rather than heavy since Yoichi is generally described as less extreme than Islay's heaviest malts, but a human should re-verify against a stronger source. One of this batch's highest-value rows per the brief.	yoichi	4	Yoichi
big-moustache	Big Moustache	blend	US					unknown			unverified	unknown		Catalogue lists this same name 3 times with inconsistent country/type (DE/blend, US/rye, US/blend); countryCode=US taken as the majority value, not a confirmed fact. No producer identified this session.	big moustache	3	Big Moustache
cedar-ridge	Cedar Ridge	distillery	US					none			unverified	low	https://en.wikipedia.org/wiki/Irish_whiskey	Iowa craft distillery; range spans bourbon and wheat whiskey per samples (defaultTypeName left empty). Could not load their own site this session (DNS/403 errors on several domain guesses). Peat=none per general American-whiskey category norm (cited page: peat rarely used outside Scotland), confidence kept low since not distillery-specific.	cedar ridge	3	Cedar Ridge ; Cedar Ridge Iowa ; Cedar Ridge Wheat
clan-campbell	Clan Campbell	blend	GB-SCT				blend	none			unverified	low	https://thewhiskeywash.com/scotch-whiskey/from-mild-to-wild-understanding-peat-levels-in-scotch-whisky/	Established mass-market blended Scotch, popular in continental Europe. Ownership not verified this pass (attempted lookup of La Martiniquaise's brand list did not include it, so owner left empty rather than guessed); treated as unpeated per the ordinary blended-Scotch default.	clan campbell	3	Clan Campbell ; Clan Campbell Dark
crabbie	Crabbie	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	John Crabbie & Co blended Scotch; commonly attributed to Halewood International but not verified this session (dedicated Wikipedia page 404'd), so owner left empty. "Crabbie and Cree" sample is unclear - possibly a set or a specific SKU name - not further resolved. Peat=none per ordinary-blend category norm.	crabbie|crabbie cree|john crabbie	3	Crabbie and Cree ; Crabbie&Cree ; John Crabbie
egans	Egan's	blend	IE					none			unverified	low	https://en.wikipedia.org/wiki/Whisky	Irish whiskey range (Vintage Grain, Fortitude, Legacy Reserve). No Wikipedia article found this session confirming producer/ownership; general knowledge points to P. & H. Egan Ltd (Tullamore) but this is unverified this session, left owner empty. Category default applied for peat (Irish whiskey almost always unpeated).	egans	3	Egan's Fortitude ; Egan's Legacy Reserve Series III ; Egan's Vintage Grain
hakushu	Hakushu	distillery	JP			Suntory	single malt	light			unverified	low	https://en.wikipedia.org/wiki/Hakushu_distillery	Suntory's "forest distillery" in Yamanashi. Source lists a "Heavily Peated" 2013 limited series as distinct from the core range (which includes the "Distiller's Reserve" in this batch's sample), implying the standard range is milder - but the source does not explicitly grade the core range's own peat level, so this is an inference. Recorded as light with low confidence rather than none, since Hakushu's standard style is commonly described as having a faint smokiness distinct from Yamazaki's unpeated style.	hakushu|the hakushu	3	Hakushu ; Hakushu Distiller's Reserve ; The Hakushu Suntory Distiller's Reserve
hatozaki	Hatozaki	blend	JP					unknown			unverified	unknown		Japanese blended/blended-malt whisky (believed Kaikyo Distillery/Akashi, per general knowledge); no Wikipedia article found this session (0 search hits) and no official-site fetch attempted after repeated API rate-limiting. Left unresearched, flag for another pass.	hatozaki	3	Hatozaki ; Hatozaki Kaikyo ; Hatozaki Triple Cask Reserve
