chivas-regal	sherry	baseline	high	https://thewhiskeyjug.com/scotch-whiskey/chivas-regal-12-years-review/	Reviews consistently describe a sherried nose (sherry, cola, apples).
chivas-regal	vanilla	baseline	high	https://thewhiskeyjug.com/scotch-whiskey/chivas-regal-12-years-review/	Palate described as malty/creamy with vanilla sweetness.
glenlivet	honey	baseline	high	https://www.thesinglecask.co.uk/blogs/distilleries/the-glenlivet	Classic Glenlivet profile: pear, apple, honey, citrus blossom, vanilla.
glenlivet	citrus	baseline	high	https://www.thesinglecask.co.uk/blogs/distilleries/the-glenlivet	Citrus blossom and green apple notes cited alongside honey.
glenlivet	vanilla	baseline	high	https://www.thesinglecask.co.uk/blogs/distilleries/the-glenlivet	Vanilla noted alongside honey and citrus.
royal-salute	citrus	baseline	high	https://whiskyforeveryone.com/review-royal-salute-21-years-old-the-signature-blend/	Tasting notes cite sweet oranges.
royal-salute	fruity	baseline	high	https://whiskyforeveryone.com/review-royal-salute-21-years-old-the-signature-blend/	Tasting notes cite peaches alongside citrus.
kavalan	fruity	baseline	high	https://en.wikipedia.org/wiki/Kavalan_Distillery	House style described as fruity, floral, subtly spicy from unpeated malt.
kavalan	floral	baseline	high	https://en.wikipedia.org/wiki/Kavalan_Distillery	Same source describes a floral character alongside fruitiness.
dufftown	fruity	baseline	high	https://en.wikipedia.org/wiki/Dufftown_distillery	Described as a sweet, fruity malt.
ardbeg	maritime	baseline	high	https://en.wikipedia.org/wiki/Ardbeg_distillery	Coastal Islay character noted alongside its heavy peat/smoke.
