old-ballantruan	Old Ballantruan	brand	GB-SCT	speyside	speyside	Angus Dundee Distillers	single malt	heavy	tomintoul		unverified	low	https://en.wikipedia.org/wiki/Tomintoul_distillery	Tomintoul distillery's peated single malt, released under its old spring-name "Ballantruan" rather than the Tomintoul brand name. Wiki: "a 1991 peaty vintage was released under the name 'Old Ballantruan'"..."it has released a peated single malt called Ballantruan". No phenol ppm figure found in the source; general reputation (and the fact it is marketed as Tomintoul's peat-forward counterpart) supports heavy over medium, but the exact figure is not confirmed -- confidence kept low rather than high.	ballantruan|old ballantruan	1	Old Ballantruan
old-bardett	Old Bardett	blend	ES					unknown			unverified	unknown		No web presence found. Catalogue calls it "bourbon" but it is sold from Spain, an unusual combination -- left type/peat unknown rather than trust the bourbon guess. Similar unidentifiable own-label pattern to the existing "Jim Bardett" row from another batch (different spelling; not assumed to be the same producer).	old bardett	1	Old Bardett
old-barny	Old Barny	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No source found (single-product own label); treated as ordinary blended Scotch per category convention.	old barny	1	Old Barny
old-castle	Old Castle	blend						unknown			unverified	unknown		Generic name, no identifiable web presence found; single-product own label.	old castle	1	Old Castle
old-glasgow	Old Glasgow	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No web presence found; treated as an ordinary own-label blended Scotch per budget policy.	old glasgow	1	Old Glasgow
old-overholt	Old Overholt	brand	US			Suntory Global Spirits	rye	none	jim-beam		unverified	low	https://en.wikipedia.org/wiki/Whisky	One of the oldest continuously produced American whiskey brands (since 1810), produced at Jim Beam's distillery. 'jim-beam' is a well-known distillery slug another batch will almost certainly emit -- not created here.	old overholt	1	Old Overholt
old-rip-van-winkle	Old Rip Van Winkle	brand	US			Sazerac Company	bourbon	none	buffalo-trace		unverified	low	https://en.wikipedia.org/wiki/Old_Rip_Van_Winkle https://www.buffalotracedistillery.com/our-brands/van-winkle/old-rip-van-winkle-10-year/	Van Winkle family's wheated-bourbon brand, distilled/bottled by Sazerac at Buffalo Trace under a joint venture since 2002. No explicit peat statement found (sources covered ownership/history, not tasting notes); inferred unpeated from standard bourbon mashbill	old rip van winkle	1	Old Rip Van Winkle
old-route-8	Old Route 8	blend	US			Augusta Distillery	bourbon	none			unverified	low	https://augustakydistillery.com/products/old-route-8	Single-barrel cask-strength Kentucky straight bourbon bottled by Augusta Distillery (Augusta, KY), the distillery's inaugural bourbon. Sourced from an undisclosed Kentucky distillery ('rumored' Heaven Hill, not confirmed) so no parentSlug given per the undisclosed-origin rule. No smoke/peat in tasting notes (oak-char notes only).	old route 8	1	Old Route 8 Single Cask Strength
old-smittys	Old Smitty's	blend						unknown			unverified	low		Not researched (budget); generic "Old ___'s" own-label naming, origin unconfirmed.	old smittys	1	Old Smitty's
old-tullymet	Old Tullymet	blend	GB-SCT			Old Tullymet Whisky Company Ltd	blend	none			unverified	low	http://oldtullymet.com/index.html https://find-and-update.company-information.service.gov.uk/company/SC563721	Blended Scotch (min. 25% malt content) evoking the historic Tullymet distillery (built 1812 as Auchnagie, renamed Tullymet 1890, long since closed) -- heritage branding, not a claim that the liquid comes from that site. No peat/smoke mentioned; described as smooth and elegant.	old tullymet	1	Old Tullymet
old-woody	Old Woody	blend						unknown			unverified	unknown		Single product, no information found this session, not searched (long tail budget)	old woody	1	Old Woody
